keyword,counter
cutting,21
cut,513
fight,522
bad,632
living,128
ending,370
note,116
alone,162
hang,993
plan,435
night,761
nobody,90
die,895
jump,74
alive,73
hate,483
sick,147
stuck,51
schizophrenia,37
disorder,43
stupid,157
fake,143
hopeless,9
insecure,17
kill,389
kills,49
dead,209
aching,119
sad,501
lost,218
drugs,40
anxiety,68
harm,227
diagnosed,21
despair,7
stress,93
panic,44
died,110
meaningless,10
dying,91
abuse,121
commit,116
hide,69
afraid,62
adrift,16
cares,46
killed,132
suicide,58
knife,20
hung,56
hurting,20
painful,31
breathing,19
killing,58
untethered,2
existing,32
abusive,17
pills,9
bully,53
bullying,34
pretending,21
depressed,36
useless,29
abused,26
worthless,10
bullied,21
injury,19
suicidal,28
ptsd,6
helpless,6
unsure,1
