user_id,username,location,followers,following,tweets
368530905,lukebees,,479,720,2975
1.13954E+18,nnann1412,,5,247,19060
7.8309E+17,Michael30905393,"Essex, MD",4,107,158
322539352,Louise_Gillett,UK,619,912,2680
550509554,DanisGram,"Toronto, Ontario",316,521,10521
1.17213E+18,emekagoodness35,"Lagos, Nigeria",211,225,342
1.16929E+18,On99Out,Hong Kong,291,525,634
1.17898E+18,saveourhongkon1,,4,20,361
1.0954E+18,BWWPodcastUK,"London, England",159,305,649
1.0564E+18,KingChips6,Zimbabwe ,4596,3971,1023
14932545,jaycousins,Berlin,1938,949,13828
91141727,jjj2121,The City Beautiful,289,406,26152
3343559655,dirkdelacroix,baltimore,174,90,10829
7.18625E+17,batchief14,,105,91,13635
1.13913E+18,mr_kk001,"Madurai, Tamilnadu.",262,339,1640
7.23189E+17,vickyvenkatt,Thoppur,133,654,3482
1264691628,CrazyDogSpirit,"Chicago, IL",442,515,21880
187351126,KMCaton,USA ,4069,3538,200634
8.80796E+17,yagsoghaejwo,Galaxy ☄,627,1380,36878
1.19051E+18,ljlopezgmailco1,,0,0,1
1.07604E+18,Sandhu00397272,,30,147,6489
1.13896E+18,ArambolesShanti,USA,16,5,2523
8.04301E+17,adrift_mp3,they/them,1816,392,150104
7.7533E+17,KristineWinger1,Ohio,645,2334,26651
1.05218E+18,einnocinc,,91,228,12409
585912212,A1_Ade,,433,204,29367
1.01108E+18,dnlxrwn,amputa,228,218,32826
1719496411,writefelicia,,181,341,1693
1.19059E+18,GammingYtb,,0,3,1
95947531,zephizeph,Escombro town,121,167,9384
8.53915E+17,chubbyeolsguns,...,315,1142,111441
8.90954E+17,JohnElsey11, Fareham  ,404,510,5139
23071819,CoCoYellow,Imported From Baltimore,1495,827,83155
1.175E+18,gingertedwards,"Leeds, England",70,281,716
277958654,Aneelgs,India,4435,4974,38183
1.18371E+18,recarrious,,11,282,35
187487065,jeisondiasf,Brasil,427,195,7506
710040636,nasherizal,Hogwart,559,438,26612
122807798,ChappellShow75,"Champaign, IL",242,639,15267
8.92501E+17,beaatriz_silvaa,debaixo de terra,67,54,5723
1338740544,ankitrgarg,Mumbai,102,220,17147
292636496,trobsonnn,winnipeg | kamloops,478,408,17056
424114017,torretia,,539,226,65116
1264541534,hay_blake,"Ontario, Canada",120,104,4958
3304960124,itsmefj_,"Bulacan, Central Luzon",263,205,3454
9.4636E+17,NCYDCBR4312,,54,369,117442
1.19035E+18,_CHANGKYUNAKED_,,65,134,58
469706800,eduardomiguel40,"Maia, Portugal",21,584,248
1.1385E+18,minheehehee,,2,5,16
7.07291E+17,TaheraAhmed1,the moon ,187,345,2027
552671564,nwabingoqo_,"Port Elizabeth, South Africa",2456,1375,32695
9.73523E+17,pypertown,,566,566,13281
9.74235E+17,JFielLY,死ね,70,195,3824
